train_acc,test_acc,train_loss, test_loss, train_error, test_error
0.3092,0.4262,1.837037862871614,1.5716106808109649,0.6908,0.5738
0.42846,0.4821,1.540591301820467,1.3869964408267075,0.57154,0.5179
0.49656,0.5524,1.3772070377379122,1.2404470660124616,0.50344,0.4476
0.5565,0.6065,1.2238394358883733,1.0885820498891696,0.4435,0.3935
0.59706,0.6634,1.1260849425707327,0.9391044059376807,0.40294,0.3366
0.62952,0.6521,1.0464620607740738,0.9616934797566408,0.37048,0.3479
0.64936,0.6964,0.9831902992237559,0.8601680086676482,0.35064,0.3036
0.67092,0.7065,0.9343411090123989,0.8227114571127921,0.32908,0.2935
0.684,0.6974,0.8907211098219733,0.8706852751932327,0.316,0.3026
0.69902,0.6903,0.8526616702070626,0.8633060185772599,0.30098,0.3097
0.71288,0.7576,0.8133748297191337,0.6993655640228539,0.28712,0.2424
0.72978,0.7704,0.7696201891240562,0.6674463202239601,0.27022,0.2296
0.74214,0.7662,0.7384850045909053,0.6592507238980312,0.25786,0.2338
0.75514,0.7939,0.7068109005079855,0.5971925976170096,0.24486,0.2061
0.76492,0.7949,0.6808506314406919,0.5942257838264392,0.23508,0.2051
0.77218,0.7791,0.6612883204084528,0.6355254790585512,0.22782,0.2209
0.778,0.8074,0.6417570926268082,0.5583528823153988,0.222,0.1926
0.78242,0.7892,0.6304921441142212,0.61638932945622,0.21758,0.2108
0.78822,0.815,0.6077281780483778,0.5328417216326781,0.21178,0.185
0.79602,0.8159,0.5980789734579414,0.5414993745885837,0.20398,0.1841
0.79898,0.7797,0.5837797863632822,0.6307981513488065,0.20102,0.2203
0.80222,0.8011,0.5817457836149903,0.5829240930308203,0.19778,0.1989
0.80524,0.8276,0.5692770015400694,0.5106294097224618,0.19476,0.1724
0.8061,0.8201,0.5637982695761239,0.5280514386049502,0.1939,0.1799
0.81176,0.8301,0.5525929918298331,0.5034254168628887,0.18824,0.1699
0.81434,0.8268,0.5448032705603963,0.5022820458290683,0.18566,0.1732
0.81444,0.8346,0.5441273629970258,0.5029546832013282,0.18556,0.1654
0.81966,0.8329,0.5302371090787756,0.48773014744755566,0.18034,0.1671
0.8186,0.8254,0.5242565998907589,0.49000337501620034,0.1814,0.1746
0.82278,0.8274,0.5154991630283768,0.4984566309269826,0.17722,0.1726
0.82392,0.8477,0.5159243593359237,0.4671962643694726,0.17608,0.1523
0.8253,0.8416,0.5100454805071092,0.47611960483964083,0.1747,0.1584
0.8263,0.8454,0.5088008927262347,0.4587335105344748,0.1737,0.1546
0.83064,0.8467,0.4981150170383246,0.45492309322402735,0.16936,0.1533
0.82914,0.8395,0.4976001067272842,0.46719781589356196,0.17086,0.1605
0.83012,0.7974,0.49570629587563714,0.5867796783234663,0.16988,0.2026
0.8317,0.8309,0.4904196986456966,0.4948825765946868,0.1683,0.1691
0.83484,0.8607,0.4854171369081873,0.42084982193958986,0.16516,0.1393
0.83272,0.8573,0.48945290370441763,0.43020934825110585,0.16728,0.1427
0.8369,0.8342,0.4796898619217031,0.4812323105563024,0.1631,0.1658
0.83724,0.8456,0.4769958514158073,0.4585819239639173,0.16276,0.1544
0.83664,0.855,0.48236995737266053,0.4401396647760063,0.16336,0.145
0.83612,0.8557,0.476679997675864,0.4379538465647181,0.16388,0.1443
0.83878,0.8421,0.47336257940820414,0.4673680753275088,0.16122,0.1579
0.84054,0.8457,0.46837846025862656,0.4536494209318404,0.15946,0.1543
0.84106,0.8424,0.4681509565514372,0.4780861266479371,0.15894,0.1576
0.84136,0.8507,0.4657599207995188,0.44989107188525473,0.15864,0.1493
0.84212,0.8467,0.4594032746332381,0.4525611547717623,0.15788,0.1533
0.84374,0.8593,0.46026893299254007,0.42248114582839286,0.15626,0.1407
0.84118,0.8308,0.46513583701666056,0.4708048727861635,0.15882,0.1692
0.84432,0.8577,0.45785463858595893,0.41712289621495896,0.15568,0.1423
0.84408,0.8547,0.4562536088554451,0.43470784129610485,0.15592,0.1453
0.84336,0.866,0.4584315240268817,0.40467841591045356,0.15664,0.134
0.8461,0.8479,0.4512753522457064,0.45809482170897686,0.1539,0.1521
